,Network,State,Facility Name,Star Rating,Profit Or Non-Profit,Chain Owned,Chain Organization,Late Shift,Number Of Dialysis Stations,Offers In-Center Hemodialysis,Offers Peritoneal Dialysis,Offers Home Hemodialysis Training,Percentage Of Medicare Patients With Hgb < 10 g/dL,Percentage Of Medicare Patients With Hgb > 12 g/dL,Percent Of Adult HD Patients With Kt/V >= 1.2,Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 mg/dL),Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 3.5 - 4.5 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 4.6 - 5.5 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 5.6 - 7.0 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 mg/dL,Mortality Rate (Facility),Readmission Rate (Facility),Hospitalization Rate (Facility),Standard Infection Ratio,Transfusion Rate (Facility),Fistula Rate (Facility),Percentage Of Adult Patients With Long Term Catheter In Use,Standardized First Kidney Transplant Waitlist Ratio,Percentage Of Prevalent Patients Waitlisted
1430,6,NC,DAVITA BULL CITY DIALYSIS,3,1.0,1,DAVITA,0,16,1,1,0,22.0,0.0,99.0,1.0,6.0,19.0,36.0,22.0,17.0,25.9,20.1,128.7,0.23,0.0,61.3,21.0,0.82,21.8
1431,9,OH,"FMC - PREBLE COUNTY REGIONAL DIALYSIS, INC.",5,1.0,1,FRESENIUS MEDICAL CARE,0,15,1,0,0,0.0,0.0,99.0,4.0,5.0,24.0,25.0,36.0,9.0,12.9,24.5,120.7,0.0,0.0,67.5,15.0,0.82,20.3
1432,13,LA,DAVITA DIALYSIS SYSTEMS OF COVINGTON,4,1.0,1,DAVITA,0,12,1,1,1,39.0,0.0,100.0,3.0,5.0,15.0,28.0,25.0,28.0,29.2,25.8,286.7,0.39,18.0,71.4,7.0,1.12,22.7
1433,15,AZ,AVONDALE DIALYSIS (DSI),3,1.0,0,INDEPENDENT,0,24,1,1,0,0.0,0.0,96.0,2.0,8.0,23.0,41.0,14.0,15.0,29.3,30.0,219.0,0.0,9.4,55.5,20.0,0.95,8.1
1434,18,CA,DAVITA BAKERSFIELD DIALYSIS CENTER,3,1.0,1,DAVITA,1,76,1,1,0,18.0,0.0,97.0,3.0,6.0,19.0,31.0,21.0,23.0,32.0,28.8,161.8,1.0,16.8,62.4,16.0,0.1,14.3
1435,15,NV,NORTHEAST LAS VEGAS (FMC),3,1.0,1,FRESENIUS MEDICAL CARE,0,24,1,1,1,18.0,0.0,99.0,2.0,8.0,20.0,26.0,29.0,17.0,16.8,27.2,201.9,0.0,27.4,55.7,18.0,0.46,6.2
1436,10,IL,DAVITA JACKSONVILLE DIALYSIS,4,1.0,1,DAVITA,0,14,1,0,0,50.0,0.0,99.0,0.0,9.0,27.0,33.0,17.0,13.0,20.3,24.9,185.9,0.46,21.6,55.4,12.0,0.0,9.1
1437,13,LA,DCI - ST JAMES,4,0.0,1,"DIALYSIS CLINIC, INC.",0,20,1,0,0,6.0,6.0,98.0,1.0,14.0,32.0,20.0,17.0,16.0,14.0,26.7,184.1,1.67,10.4,49.9,16.0,0.82,15.2
1438,16,OR,DAVITA SALEM DIALYSIS,4,1.0,1,DAVITA,1,25,1,1,1,18.0,0.0,99.0,1.0,6.0,28.0,38.0,17.0,12.0,26.2,22.2,196.3,0.44,32.2,71.0,13.0,0.48,9.2
1439,6,GA,US RENAL CARE GRAY DIALYSIS,2,1.0,1,"US RENAL CARE, INC.",0,18,1,1,0,19.0,0.0,95.0,4.0,8.0,25.0,39.0,18.0,9.0,19.6,29.1,141.8,0.29,0.0,41.5,29.0,0.82,0.0
1440,3,NJ,DAVITA TETERBORO DIALYSIS,4,1.0,1,DAVITA,0,18,1,1,0,25.0,0.0,99.0,2.0,6.0,21.0,37.0,20.0,16.0,22.8,20.4,201.9,0.29,18.1,66.8,14.0,1.32,28.6
1441,6,SC,FMC DIALYSIS SERVICES LAKE MARION,4,1.0,1,FRESENIUS MEDICAL CARE,0,13,1,0,0,38.0,0.0,98.0,2.0,9.0,27.0,35.0,20.0,9.0,28.1,34.0,152.9,0.54,36.1,65.0,6.0,0.82,11.2
1442,18,CA,U.S. RENAL CARE OCEANSIDE DIALYSIS,4,1.0,1,"US RENAL CARE, INC.",0,21,1,1,1,5.0,0.0,99.0,0.0,11.0,28.0,35.0,15.0,11.0,32.6,30.1,211.5,0.85,25.4,66.3,7.0,1.22,28.5
1443,18,CA,DAVITA LOS ANGELES DIALYSIS CENTER,3,1.0,1,DAVITA,1,28,1,1,0,13.0,0.0,98.0,2.0,9.0,22.0,37.0,17.0,16.0,20.1,34.5,191.7,0.35,9.1,59.5,13.0,0.17,21.1
1444,15,CO,PAVILION DIALYSIS (FMC),5,1.0,1,FRESENIUS MEDICAL CARE,1,24,1,1,1,9.0,0.0,99.0,0.0,9.0,26.0,26.0,24.0,16.0,18.6,22.5,136.8,0.15,4.2,67.3,8.0,1.53,20.1
1445,2,NY,DAVITA MILLENNIUM DIALYSIS,4,1.0,1,DAVITA,1,20,1,0,0,24.0,0.0,99.0,1.0,11.0,27.0,30.0,20.0,13.0,17.0,35.4,212.2,0.31,37.5,73.2,12.0,1.42,21.9
1446,11,MN,DAVITA CENTRAL AVENUE DIALYSIS,4,1.0,1,DAVITA,0,12,1,1,0,5.0,0.0,100.0,2.0,5.0,17.0,30.0,19.0,29.0,14.0,30.6,139.3,1.04,12.2,66.5,9.0,0.82,21.0
1447,9,OH,FMC - PORTSMOUTH,5,1.0,1,FRESENIUS MEDICAL CARE,0,12,1,1,1,12.0,0.0,98.0,1.0,13.0,30.0,24.0,24.0,10.0,18.7,24.8,180.6,0.0,63.3,75.7,4.0,0.82,4.6
1448,8,MS,RCG SARDIS,4,1.0,1,FRESENIUS MEDICAL CARE,0,24,1,0,0,44.0,0.0,98.0,1.0,6.0,24.0,26.0,24.0,19.0,28.2,31.2,208.9,0.16,6.7,71.7,9.0,0.52,12.7
1449,5,MD,US RENAL CARE OXON HILL DIALYSIS,3,1.0,1,"US RENAL CARE, INC.",0,16,1,0,0,13.0,0.0,98.0,3.0,10.0,31.0,34.0,16.0,9.0,18.0,28.5,169.7,0.23,21.6,53.8,9.0,0.82,16.8
1450,7,FL,JACKSON MEMORIAL HOSP DIALYSIS PEDIATRIC,2,0.0,0,INDEPENDENT,0,8,1,1,0,18.0,0.0,99.0,14.0,3.0,18.0,39.0,29.0,10.0,19.1,21.9,125.2,0.51,16.7,44.1,28.0,0.22,15.0
1451,15,NM,US RENAL CARE LAS CRUCES,4,1.0,1,"US RENAL CARE, INC.",0,13,1,1,0,18.0,0.0,85.0,10.0,12.0,35.0,37.0,11.0,5.0,21.75,27.0,185.0,0.51,16.7,40.0,15.0,0.82,0.7
1452,8,AL,RCG CLANTON,3,1.0,1,FRESENIUS MEDICAL CARE,0,12,1,0,0,31.0,0.0,97.0,1.0,8.0,22.0,26.0,26.0,18.0,29.2,31.0,282.6,0.55,29.6,47.8,7.0,0.82,10.9
1453,6,GA,FMC LAWRENCEVILLE,5,1.0,1,FRESENIUS MEDICAL CARE,0,0,0,1,0,30.0,0.0,98.0,2.0,4.0,19.0,32.0,28.0,18.0,16.1,12.7,174.3,0.51,0.0,77.7,9.0,2.63,46.6
1454,15,AZ,PHOENIX ARTIFICIAL KIDNEY CENTER (FMC),4,1.0,1,FRESENIUS MEDICAL CARE,0,21,1,1,0,7.0,0.0,99.0,2.0,9.0,21.0,29.0,27.0,13.0,31.4,31.1,253.3,0.44,0.0,67.5,16.0,0.77,8.7
1455,9,OH,CENTER FOR DIALYSIS CARE AT HEATHER HILL,4,0.0,1,CENTERS FOR DIALYSIS CARE,1,12,1,0,0,15.0,0.0,95.0,1.0,10.0,19.0,23.0,29.0,19.0,32.6,30.0,266.3,1.38,0.0,75.3,15.0,0.82,13.4
1456,4,PA,FRESENIUS KIDNEY CARE - EPISCOPAL,4,1.0,1,FRESENIUS MEDICAL CARE,1,23,1,0,0,11.0,0.0,96.0,0.0,5.0,22.0,29.0,24.0,21.0,25.8,28.8,207.0,1.54,0.0,69.5,14.0,1.43,22.2
1457,15,NV,DAVITA PAHRUMP DIALYSIS CENTER,3,1.0,1,DAVITA,0,20,1,1,0,32.0,0.0,99.0,2.0,7.0,28.0,28.0,20.0,16.0,28.9,28.9,199.1,0.46,11.4,60.5,19.0,0.38,8.8
1458,7,FL,FMC - CORAL SPRINGS,3,1.0,1,FRESENIUS MEDICAL CARE,0,28,1,1,1,20.0,0.0,96.0,2.0,8.0,25.0,32.0,25.0,11.0,21.0,26.9,148.7,0.41,21.8,59.7,26.0,1.08,20.2
1459,3,NJ,FMC UNION HILL,4,1.0,1,FRESENIUS MEDICAL CARE,1,19,1,0,0,9.0,0.0,99.0,1.0,13.0,29.0,29.0,21.0,8.0,18.1,30.7,170.5,0.74,5.7,66.9,16.0,2.26,23.6
1460,6,SC,CAROLINA DIALYSIS LLC,3,1.0,1,AMERICAN RENAL ASSOCIATES,0,20,1,1,1,32.0,0.0,99.0,2.0,5.0,22.0,33.0,25.0,16.0,20.8,19.0,180.0,0.4,82.4,55.8,10.0,0.43,12.7
1461,9,KY,FMC - TRIGG COUNTY,5,1.0,1,FRESENIUS MEDICAL CARE,0,12,1,0,0,7.0,0.0,100.0,1.0,14.0,28.0,28.0,17.0,13.0,18.4,23.3,154.9,1.63,16.7,73.8,12.0,0.82,7.1
1462,12,IA,DAVITA RIVERPOINT DIALYSIS UNIT,5,1.0,1,DAVITA,0,16,1,1,0,12.0,0.0,99.0,1.0,4.0,19.0,36.0,25.0,17.0,24.1,14.6,137.5,0.7,15.9,69.4,7.0,1.79,15.3
1463,6,SC,FRESENIUS MEDICAL CARE OF BATESBURG LEESVILLE,3,1.0,1,FRESENIUS MEDICAL CARE,0,21,1,0,0,26.0,0.0,96.0,0.0,10.0,26.0,33.0,17.0,13.0,22.4,31.9,178.6,0.26,49.5,51.8,8.0,1.27,11.0
1464,7,FL,DAVITA EAST FT LAUDERDALE DIALYSIS CENTER,3,1.0,1,DAVITA,0,18,1,1,0,22.0,0.0,98.0,1.0,6.0,27.0,35.0,19.0,14.0,24.9,37.2,274.2,0.39,32.0,57.9,18.0,0.15,16.6
1465,15,CO,GRAND JUNCTION DIALYSIS (DCI),4,0.0,1,"DIALYSIS CLINIC, INC.",0,17,1,1,0,6.0,0.0,99.0,3.0,5.0,22.0,28.0,29.0,16.0,23.8,24.1,139.7,1.35,3.5,62.3,15.0,1.4,22.4
1466,11,MN,DAVITA PHALEN DIALYSIS,4,1.0,1,DAVITA,0,12,1,0,0,18.0,0.0,98.0,1.0,10.0,20.0,39.0,10.0,22.0,21.75,35.2,185.0,0.51,16.7,44.2,24.0,0.82,9.3
1467,4,PA,DAVITA NORTHSIDE DIALYSIS,4,1.0,1,DAVITA,1,23,1,1,1,16.0,0.0,95.0,0.0,7.0,25.0,30.0,22.0,16.0,21.8,36.1,180.9,0.39,3.2,66.4,15.0,0.92,23.7
1468,9,IN,DAVITA UNIVERSITY DIALYSIS OF INDY,4,1.0,1,DAVITA,0,31,1,0,0,30.0,2.0,95.0,1.0,6.0,15.0,25.0,21.0,32.0,17.5,30.9,201.6,2.63,17.3,67.5,9.0,0.82,8.6
1469,15,CO,DAVITA MONTBELLO DIALYSIS,5,1.0,1,DAVITA,0,12,1,0,0,18.0,0.0,98.0,0.0,10.0,22.0,27.0,21.0,20.0,7.3,18.8,119.4,1.87,0.0,71.5,10.0,0.82,20.3
1470,4,PA,DAVITA WAYNESBURG DIALYSIS,5,1.0,1,DAVITA,0,13,1,1,0,17.0,0.0,100.0,0.0,4.0,23.0,44.0,16.0,14.0,28.4,33.1,237.0,0.0,11.1,81.8,2.0,0.82,20.3
1471,6,GA,DAVITA ATLANTA WEST DIALYSIS,2,1.0,1,DAVITA,0,20,1,0,0,3.0,0.0,97.0,4.0,4.0,24.0,32.0,20.0,20.0,25.0,33.1,248.3,0.0,35.8,53.5,16.0,0.0,13.4
1472,4,PA,LANGHORNE DIALYSIS CENTER,4,1.0,1,AMERICAN RENAL ASSOCIATES,1,27,1,1,1,15.0,0.0,100.0,1.0,5.0,20.0,28.0,33.0,15.0,16.0,32.8,180.1,1.2,17.8,63.2,10.0,2.96,36.2
1473,9,OH,FMC - AMHERST DIALYSIS,3,1.0,1,FRESENIUS MEDICAL CARE,0,20,1,0,0,16.0,0.0,98.0,1.0,6.0,23.0,28.0,29.0,14.0,20.2,40.5,254.2,0.54,16.5,65.6,13.0,1.07,9.3
1474,3,PR,FMC SAN JUAN DIALYSIS CENTER,1,1.0,1,FRESENIUS MEDICAL CARE,1,33,1,0,0,18.0,0.0,96.0,2.0,7.0,23.0,35.0,21.0,14.0,38.1,39.1,304.8,0.84,69.9,35.0,49.0,0.47,5.8
1475,4,PA,DAVITA PARIS DIALYSIS,3,1.0,1,DAVITA,0,17,1,1,0,32.0,0.0,97.0,1.0,10.0,26.0,33.0,22.0,10.0,22.2,17.6,218.4,0.27,40.8,54.7,18.0,0.33,8.4
1476,13,AR,DCI - MCCRORY,4,0.0,1,"DIALYSIS CLINIC, INC.",0,9,1,1,0,0.0,0.0,97.0,2.0,8.0,27.0,24.0,24.0,19.0,14.1,22.9,221.5,1.08,46.7,77.9,10.0,0.82,0.0
1477,2,NY,"NEWTOWN DIALYSIS CENTER, INC.",3,1.0,0,INDEPENDENT,0,12,1,0,0,37.0,0.0,96.0,4.0,13.0,19.0,22.0,28.0,18.0,29.3,31.1,264.5,0.18,23.1,62.6,17.0,0.82,9.7
1478,9,IN,FMC - CARMEL,3,1.0,1,FRESENIUS MEDICAL CARE,1,12,1,0,0,26.0,4.0,96.0,0.0,5.0,22.0,25.0,30.0,19.0,21.8,26.3,252.4,0.0,31.8,62.8,25.0,1.76,20.0
1479,4,PA,DAVITA PDI - EPHRATA,5,1.0,1,DAVITA,0,16,1,0,0,12.0,0.0,100.0,0.0,4.0,31.0,37.0,20.0,8.0,22.4,26.2,179.6,0.0,11.9,72.9,2.0,0.85,15.5
1480,12,MO,FMC - BLUE SPRINGS,5,1.0,1,FRESENIUS MEDICAL CARE,0,15,1,0,0,13.0,0.0,98.0,1.0,9.0,29.0,28.0,20.0,15.0,22.0,24.1,230.5,0.0,0.0,68.7,8.0,2.02,17.7
1481,6,GA,DAVITA SHAMROCK DIALYSIS,5,1.0,1,DAVITA,0,16,1,1,0,19.0,0.0,97.0,0.0,13.0,27.0,29.0,15.0,16.0,28.8,19.2,167.1,0.75,3.9,67.6,12.0,0.61,11.1
1482,10,IL,DAVITA FOREST CITY DIALYSIS,3,1.0,1,DAVITA,0,12,1,0,0,25.0,0.0,96.0,0.0,9.0,14.0,28.0,24.0,25.0,27.7,23.4,208.6,0.81,6.3,49.3,15.0,0.82,0.0
1483,10,IL,DAVITA DECATUR EAST WOOD DIALYSIS,5,1.0,1,DAVITA,0,18,1,1,1,40.0,0.0,100.0,0.0,6.0,20.0,31.0,25.0,18.0,27.5,35.6,235.4,0.72,14.1,74.8,4.0,0.25,10.2
1484,9,IN,DAVITA EAGLE HIGHLANDS DIALYSIS,4,1.0,1,DAVITA,0,16,1,0,0,23.0,0.0,97.0,1.0,11.0,24.0,29.0,18.0,18.0,19.8,38.9,202.7,0.23,6.0,65.4,11.0,0.19,17.4
1485,6,SC,FRESENIUS MEDICAL CARE NORTH ANDERSON,3,1.0,1,FRESENIUS MEDICAL CARE,0,21,1,1,1,27.0,0.0,97.0,1.0,11.0,24.0,25.0,25.0,14.0,26.2,24.6,191.8,0.23,40.8,54.0,6.0,1.13,19.5
1486,10,IL,FMC - CHICAGO WESTSIDE DIALYSIS,3,1.0,1,FRESENIUS MEDICAL CARE,0,31,1,0,0,33.0,0.0,98.0,0.0,13.0,24.0,29.0,20.0,14.0,17.9,31.7,280.2,0.16,16.7,53.2,35.0,1.17,12.5
1487,6,SC,DAVITA PALMETTO DIALYSIS,5,1.0,1,DAVITA,0,21,1,0,0,17.0,0.0,100.0,0.0,16.0,26.0,33.0,16.0,8.0,27.4,22.4,132.7,0.97,20.7,49.6,4.0,0.82,11.7
1488,2,NY,"MILLS POND DIALYSIS CENTER, LLC",2,1.0,0,INDEPENDENT,0,11,1,0,0,80.0,0.0,94.0,3.0,13.0,32.0,26.0,21.0,8.0,24.7,32.6,177.1,0.0,45.6,50.5,42.0,0.88,11.9
1489,6,NC,"BIO-MEDICAL APPLICATIONS OF NORTH CAROLINA, INC.",5,1.0,1,FRESENIUS MEDICAL CARE,0,10,1,1,1,10.0,0.0,99.0,1.0,8.0,19.0,35.0,24.0,15.0,10.1,5.6,114.6,0.0,15.8,52.4,11.0,0.82,11.7
1490,5,MD,DAVITA GLENARDEN DIALYSIS,3,1.0,1,DAVITA,0,24,1,0,0,33.0,0.0,98.0,5.0,9.0,25.0,27.0,22.0,17.0,15.3,28.0,207.7,0.65,39.8,61.0,14.0,0.82,13.6
1491,15,AZ,HOME DIALYSIS OF MESA (FMC),4,1.0,1,FRESENIUS MEDICAL CARE,0,1,0,1,1,18.0,0.0,98.0,3.0,11.0,21.0,25.0,24.0,19.0,27.7,21.6,192.9,0.51,0.0,76.6,15.0,0.82,27.7
1492,13,AR,US RENAL CARE - PINE BLUFF,1,1.0,1,"US RENAL CARE, INC.",0,24,1,1,0,11.0,1.0,90.0,3.0,11.0,24.0,29.0,23.0,14.0,33.4,24.2,221.0,0.52,55.5,39.0,35.0,0.28,5.8
1493,6,GA,DAVITA EAST MACON DIALYSIS CENTER,4,1.0,1,DAVITA,0,24,1,1,1,12.0,0.0,97.0,1.0,15.0,24.0,24.0,21.0,16.0,19.2,30.3,179.4,0.58,18.3,59.2,7.0,0.22,9.4
1494,18,CA,FMC-GATEWAY DIALYSIS CENTER-EAST,5,1.0,1,FRESENIUS MEDICAL CARE,0,24,1,0,0,11.0,0.0,98.0,2.0,16.0,30.0,29.0,18.0,8.0,15.0,23.2,125.6,1.15,13.7,55.5,6.0,0.0,12.6
1495,3,NJ,DAVITA RENAL CTR MONROE,2,1.0,1,DAVITA,0,18,1,1,0,18.0,0.0,96.0,11.0,7.0,36.0,44.0,11.0,3.0,21.75,39.1,203.0,0.51,16.7,55.2,18.0,0.82,16.1
1496,12,KS,"DIALYSIS SPECIALISTS OF TOPEKA, INC.",5,1.0,1,FRESENIUS MEDICAL CARE,0,12,1,1,1,17.0,0.0,99.0,0.0,9.0,23.0,28.0,26.0,15.0,28.9,26.6,256.0,0.0,13.5,76.8,10.0,0.0,0.9
1497,9,KY,DCI - FRANKFORT,4,0.0,1,"DIALYSIS CLINIC, INC.",0,20,1,0,0,7.0,0.0,96.0,2.0,3.0,21.0,31.0,30.0,15.0,26.3,24.8,153.6,0.59,0.0,61.0,9.0,0.82,11.0
1498,9,OH,DCA OF CINCINNATI,3,1.0,1,"US RENAL CARE, INC.",0,16,1,1,1,8.0,0.0,97.0,1.0,10.0,25.0,33.0,19.0,13.0,20.7,22.5,153.3,0.0,7.0,46.5,7.0,0.83,2.4
1499,9,KY,FMC - SOUTHWEST,4,1.0,1,FRESENIUS MEDICAL CARE,0,24,1,0,0,13.0,0.0,97.0,0.0,10.0,27.0,27.0,24.0,13.0,20.4,27.4,211.5,0.92,8.9,60.7,14.0,0.97,13.7
1500,11,MI,DAVITA ROSCOMMON DIALYSIS,4,1.0,1,DAVITA,0,13,1,0,0,6.0,0.0,94.0,0.0,4.0,26.0,34.0,18.0,19.0,19.9,19.8,293.9,2.15,96.5,76.9,7.0,0.82,11.5
1501,5,MD,DAVITA HARBOR PARK DIALYSIS,4,1.0,1,DAVITA,0,21,1,0,0,25.0,0.0,98.0,2.0,7.0,24.0,34.0,18.0,17.0,14.3,26.5,152.0,0.0,18.3,65.7,17.0,0.58,17.4
1502,16,OR,DAVITA SALEM NORTH DIALYSIS,5,1.0,1,DAVITA,1,12,1,0,0,18.0,0.0,99.0,2.0,4.0,28.0,46.0,15.0,7.0,28.2,27.1,126.0,0.44,0.0,65.9,10.0,0.8,7.6
1503,8,AL,DAVITA TALLADEGA DIALYSIS,4,1.0,1,DAVITA,0,13,1,1,1,23.0,0.0,99.0,0.0,9.0,23.0,22.0,26.0,19.0,20.3,22.0,214.8,2.42,51.0,56.1,7.0,0.82,7.4
1504,9,IN,DAVITA FORT WAYNE WEST DIALYSIS,4,1.0,1,DAVITA,0,14,1,1,1,34.0,0.0,100.0,0.0,7.0,24.0,37.0,17.0,15.0,32.3,34.8,220.3,0.28,28.7,63.4,4.0,1.58,20.5
1505,7,FL,BMA - AVON PARK,3,1.0,1,FRESENIUS MEDICAL CARE,0,14,1,0,0,22.0,0.0,100.0,0.0,11.0,32.0,32.0,17.0,8.0,24.3,24.5,199.7,1.17,23.8,46.5,17.0,0.71,12.4
1506,2,NY,"DIALYSIS CLINIC, INC.",3,0.0,1,"DIALYSIS CLINIC, INC.",0,18,1,1,1,6.0,4.0,95.0,1.0,12.0,28.0,30.0,22.0,8.0,24.9,28.9,200.8,0.14,17.6,59.0,20.0,0.53,15.4
1507,10,IL,FMC - ALSIP DIALYSIS CENTER,5,1.0,1,FRESENIUS MEDICAL CARE,0,16,1,1,0,15.0,0.0,99.0,1.0,14.0,28.0,26.0,23.0,9.0,12.0,31.4,142.1,0.17,2.2,56.7,14.0,0.46,16.2
1508,2,NY,"DIALYZE DIRECT NY, LLC",2,1.0,0,INDEPENDENT,0,1,0,0,1,83.0,0.0,21.0,1.0,31.0,35.0,17.0,11.0,5.0,52.8,29.5,280.0,0.51,52.5,62.3,17.0,0.82,16.1
1509,13,LA,DCI - KIDNEY CARE OF ACADIANA-LAFAYETTE,2,1.0,1,"DIALYSIS CLINIC, INC.",0,10,1,0,0,20.0,5.0,91.0,5.0,8.0,20.0,31.0,24.0,16.0,26.5,28.9,283.3,0.51,71.7,51.5,9.0,0.82,5.1
1510,5,MD,DAVITA DOWNTOWN DIALYSIS CENTER,3,1.0,1,DAVITA,0,31,1,1,0,28.0,0.0,97.0,0.0,6.0,26.0,34.0,19.0,16.0,15.5,22.1,178.1,0.78,28.4,54.0,23.0,0.39,11.2
1511,6,NC,FRESENIUS MEDICAL CARE OF AYDEN,4,1.0,1,FRESENIUS MEDICAL CARE,0,16,1,0,0,25.0,0.0,96.0,0.0,10.0,25.0,28.0,22.0,14.0,18.2,26.4,172.4,1.14,25.9,59.5,14.0,0.82,8.5
1512,1,MA,SAINT VINCENT'S HOSPITAL,2,1.0,0,INDEPENDENT,0,12,1,1,0,18.0,0.0,95.0,7.0,5.0,23.0,24.0,30.0,18.0,27.1,24.7,252.4,0.51,39.1,69.3,21.0,2.64,42.8
1513,5,MD,DAVITA 25TH STREET DIALYSIS,3,1.0,1,DAVITA,0,21,1,0,0,30.0,0.0,95.0,3.0,9.0,22.0,31.0,20.0,19.0,18.6,26.8,195.7,0.97,57.2,58.5,13.0,0.64,17.7
1514,2,NY,FMS-FREEDOM CENTER OF BUFFALO,4,1.0,1,FRESENIUS MEDICAL CARE,0,0,0,1,1,18.0,0.0,98.0,0.0,0.0,21.0,23.0,28.0,28.0,29.5,32.7,319.3,0.51,16.7,63.3,12.0,0.82,21.9
1515,10,IL,DAVITA LAKE VILLA DIALYSIS,5,1.0,1,DAVITA,0,12,1,1,1,12.0,0.0,100.0,0.0,7.0,24.0,39.0,17.0,13.0,15.5,24.6,164.2,1.01,0.0,72.0,8.0,0.44,15.4
1516,11,MI,DAVITA WEST BRANCH DIALYSIS,3,1.0,1,DAVITA,0,14,1,1,1,23.0,0.0,99.0,0.0,7.0,25.0,30.0,19.0,18.0,25.2,42.0,279.6,0.68,42.8,54.5,19.0,0.46,10.5
1517,18,CA,FMC-ANTELOPE VALLEY,3,1.0,1,FRESENIUS MEDICAL CARE,1,22,1,1,1,19.0,0.0,96.0,0.0,7.0,24.0,31.0,23.0,15.0,38.2,16.7,172.0,0.29,8.3,66.6,18.0,0.29,19.8
1518,3,PR,THE RENAL CENTER OF GUAYNABO II,1,1.0,1,ATLANTIS HEALTHCARE GROUP,0,30,1,0,0,0.0,0.0,98.0,2.0,9.0,29.0,33.0,24.0,6.0,45.0,33.8,313.3,0.65,85.1,40.5,36.0,0.99,6.6
1519,10,IL,AFFILIATED DIALYSIS OF JOLIET,2,1.0,0,INDEPENDENT,0,1,0,1,1,18.0,0.0,98.0,14.0,14.0,36.0,21.0,21.0,7.0,27.7,27.0,185.0,0.51,16.7,66.5,19.0,0.82,16.1
1520,9,KY,"FMC - NAK BEREA, LLC",3,1.0,1,FRESENIUS MEDICAL CARE,0,13,1,0,0,26.0,0.0,99.0,5.0,7.0,16.0,23.0,28.0,25.0,21.7,24.6,216.0,0.34,21.4,66.8,16.0,0.82,9.5
1521,9,IN,FMC - TREE CITY DIALYSIS,5,1.0,1,FRESENIUS MEDICAL CARE,0,12,1,1,0,19.0,0.0,99.0,0.0,7.0,23.0,27.0,29.0,14.0,20.6,24.5,199.5,0.0,15.2,68.6,12.0,0.82,8.6
1522,15,NV,DESERT VALLEY DIALYSIS,2,0.0,1,UNIVERSITY OF UTAH DIALYSIS PROGRAM,0,10,1,0,0,7.0,0.0,97.0,3.0,5.0,27.0,23.0,29.0,17.0,33.4,20.9,229.4,0.0,39.1,45.6,31.0,0.82,5.5
1523,2,NY,NOYES CENTER FOR KIDNEY DISEASE AND DIALYSIS,1,0.0,0,INDEPENDENT,0,16,1,1,0,25.0,0.0,94.0,5.0,8.0,27.0,25.0,25.0,15.0,24.9,25.2,209.4,0.63,17.8,54.3,34.0,0.92,22.0
1524,5,MD,DAVITA LIVINGSTON VILLAGE DIALYSIS,4,1.0,1,DAVITA,0,19,1,0,0,18.0,0.0,98.0,1.0,7.0,24.0,31.0,22.0,14.0,21.75,27.0,185.0,0.51,16.7,63.3,12.0,0.82,12.3
1525,4,PA,BIO-MEDICAL APPLICATIONS OF PENNSYLVANIA INC,4,1.0,1,FRESENIUS MEDICAL CARE,0,12,1,0,0,18.0,0.0,98.0,1.0,7.0,24.0,31.0,22.0,14.0,21.75,27.0,185.0,0.51,16.7,63.3,12.0,0.82,16.1
1526,4,PA,BELMONT COURT DIALYSIS - DOYLESTOWN CAMPUS,1,1.0,1,"BELMONT COURT DIALYSIS CENTER, INC.",0,22,1,0,1,30.0,0.0,88.0,23.0,13.0,28.0,25.0,24.0,10.0,24.7,34.0,188.2,3.81,16.7,30.9,43.0,0.82,15.9
1527,9,IN,FMC - SHELBYVILLE,4,1.0,1,FRESENIUS MEDICAL CARE,0,12,1,0,0,35.0,0.0,100.0,1.0,9.0,25.0,24.0,27.0,15.0,22.4,38.1,212.1,0.41,44.8,63.9,9.0,0.99,5.3
1528,10,IL,FMC - WESTCHESTER,5,1.0,1,FRESENIUS MEDICAL CARE,0,22,1,0,0,17.0,0.0,100.0,3.0,10.0,29.0,32.0,20.0,9.0,15.4,22.3,128.0,1.17,5.2,68.9,12.0,0.48,21.9
1529,4,PA,"ARA - CLARION DIALYSIS CENTER, LLC",3,1.0,1,AMERICAN RENAL ASSOCIATES,0,28,1,1,0,28.0,0.0,99.0,0.0,6.0,25.0,38.0,21.0,10.0,20.9,32.6,217.2,1.96,9.6,47.0,32.0,0.82,19.2
1530,12,MO,DAVITA ARNOLD DIALYSIS,5,1.0,1,DAVITA,0,8,1,1,0,16.0,0.0,98.0,0.0,2.0,16.0,37.0,27.0,18.0,21.1,23.6,133.2,1.32,13.7,65.3,2.0,0.82,19.0
1531,16,OR,DAVITA HILLSBORO DIALYSIS CENTER,5,1.0,1,DAVITA,0,13,1,1,1,22.0,0.0,100.0,0.0,6.0,22.0,40.0,19.0,13.0,21.9,17.2,138.4,1.12,0.0,49.0,3.0,0.82,26.4
